,UserID,movieID and rating
0,1,"[(5114, 3.5820935059230448), (116, 3.5447251412731604), (73290, 3.5285077989337004), (8132, 3.5191885334511284), (3030, 3.508754037232981), (1939, 3.501023345628445), (2924, 3.4936716167891304), (6273, 3.489055979559997), (1948, 3.482299610183072), (3038, 3.480965353548157)]"
1,2,"[(116, 4.399449333798843), (73290, 4.38956071077136), (5114, 4.381004281584577), (3038, 4.367282603984913), (1939, 4.364165355845031), (116897, 4.363291150249868), (2924, 4.359350986253838), (8132, 4.343106606874856), (7116, 4.341225398682643), (858, 4.330385220110955)]"
2,3,"[(5114, 4.303953069105979), (1939, 4.291368980236945), (73290, 4.270593008686995), (116, 4.270235900246266), (3038, 4.264313341267317), (116897, 4.252413539427065), (7116, 4.248946287112396), (2924, 4.244296606602941), (8132, 4.2422267214868326), (3310, 4.24075699243136)]"
3,4,"[(5114, 4.993751499786199), (73290, 4.9778136104263), (116, 4.975340912251021), (3038, 4.956881293298754), (2924, 4.951897250779837), (8132, 4.939275647891319), (1939, 4.937949051387795), (116897, 4.931945126878336), (7116, 4.92777950165534), (3310, 4.91154631684884)]"
4,5,"[(5114, 4.691830198255524), (116, 4.689897923082526), (73290, 4.668013734898661), (1939, 4.667247747148876), (3038, 4.655819710828266), (8132, 4.640589033113831), (116897, 4.633786320038281), (7116, 4.627981226950907), (2924, 4.625581067984334), (3310, 4.620359994270165)]"
5,6,"[(116, 4.137533346866064), (73290, 4.089829297759015), (1939, 4.062380609336571), (3030, 4.061473042983046), (3038, 4.03710465213707), (8132, 4.027072783984515), (5114, 4.023347410533859), (7802, 4.022365740870545), (858, 4.020706436080812), (1948, 4.0201794835005655)]"
6,7,"[(73290, 4.288757409726834), (116, 4.271681356342712), (5114, 4.262957074067243), (1939, 4.261385527770515), (7116, 4.2517804116008255), (8132, 4.248794297267419), (3038, 4.246011104580326), (2924, 4.236730596399804), (116897, 4.236540177100668), (858, 4.223876008749802)]"
7,8,"[(116, 4.483678679630133), (5114, 4.476009546389035), (73290, 4.461140881213937), (1939, 4.450753974679406), (7116, 4.443797179332136), (3038, 4.443351046859594), (8132, 4.421428174262224), (116897, 4.42077142885889), (2924, 4.4177676038989055), (3310, 4.413457273908547)]"
8,9,"[(116, 4.415707428385257), (5114, 4.40270834406111), (3038, 4.393523691735397), (73290, 4.3906659231469485), (1939, 4.379732088059099), (8132, 4.377312085406046), (2924, 4.373380261769524), (116897, 4.355667953050297), (7116, 4.352962688128267), (858, 4.348641331392403)]"
9,10,"[(116, 4.579983488170717), (116897, 4.531409987267356), (3038, 4.502024185636609), (1939, 4.499539590025453), (5114, 4.490534487352519), (73290, 4.478816381423642), (3310, 4.478632984301361), (6669, 4.473005797803002), (858, 4.468006663658497), (2924, 4.464213301822253)]"
10,11,"[(73290, 4.8084730873049235), (116, 4.764429357557062), (5114, 4.762493898280602), (3030, 4.749755180823536), (7116, 4.749261313247544), (8132, 4.747908089437627), (2924, 4.741643293380454), (1939, 4.740654644650335), (116897, 4.738567551254281), (3038, 4.732971850091332)]"
11,12,"[(3038, 3.877114006824656), (3310, 3.8502362357829143), (80, 3.830472221832629), (858, 3.8264328507718988), (8132, 3.813860371965883), (5114, 3.811225253485514), (1939, 3.8078525839570365), (1948, 3.806371802119026), (178, 3.794083811071781), (2924, 3.792716887285551)]"
12,13,"[(5114, 4.434984684730967), (116, 4.397484468326298), (73290, 4.378883071126228), (1939, 4.371073465073908), (8132, 4.357637637640553), (3038, 4.35586578605882), (2924, 4.354955896576976), (7116, 4.347566841180111), (3310, 4.344326049864848), (858, 4.343966898401468)]"
